Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Country,Stage,Funds_Raised_USD
SIRCLO,"Jakarta, Non-U.S.",Retail,160,0.08,22/11/2022,https://dailysocial.id/post/sirclo-layoff-2022,Indonesia,Series B,92
Movidesk,"Blumenau, Non-U.S.",Support,118,,22/11/2022,https://startups.com.br/noticias/zenvia-faz-limpa-na-movidesk-e-demite-118-funcionarios/,Brazil,Acquired,11
Trax,"Singapore, Non-U.S.",Retail,80,0.08,22/11/2022,https://www.themarker.com/technation/2022-11-22/ty-article/.premium/00000184-9f73-d710-a7c6-df731af70000,Singapore,Series E,1000
Flash Coffee,"Singapore, Non-U.S.",Food,,,22/11/2022,https://www.businesstimes.com.sg/startups-tech/startups/rocket-internet-backed-flash-coffee-lays-staff-across-markets,Singapore,Series B,57
Natera,SF Bay Area,Healthcare,,,22/11/2022,https://www.bizjournals.com/sanjose/news/2022/11/22/peninsula-biotechs-cutting-dozens-of-jobs.html,United States,Post-IPO,809
Rapyd,"Tel Aviv, Non-U.S.",Finance,,,22/11/2022,https://en.globes.co.il/en/article-israeli-fintech-co-rapyd-to-lay-off-dozens-1001430704,Israel,Unknown,770
Reynen Court,"Amsterdam, Non-U.S.",Legal,,,22/11/2022,https://www.lawnext.com/2022/11/reynen-court-app-store-of-legal-reduces-staff-tells-vendors-they-could-see-service-delays.html,Netherlands,Unknown,23
Jumia,"Lagos, Non-U.S.",Retail,900,0.2,21/11/2022,https://techcrunch.com/2023/02/16/jumia-laid-off-20-of-staff-in-q4-2022-amid-work-to-reduce-losses-by-half-this-year/,Nigeria,Post-IPO,1200
Kitopi,"Dubai, Non-U.S.",Food,93,0.1,21/11/2022,https://www.arabianbusiness.com/jobs/dubai-unicorn-kitopi-sacks-93-head-office-staff-as-tech-industry-slumps,UAE,Series C,804
Devo,Boston,Security,,0.15,21/11/2022,https://tekdeeps.com/the-unicorn-devo-lays-off-15-of-its-global-team/,United States,Series F,481
GloriFi,Dallas,Finance,,1,21/11/2022,https://www.wsj.com/articles/anti-woke-bank-glorifi-to-shut-down-11669051554,United States,Unknown,
Zomato,"Gurugram, Non-U.S.",Food,100,0.04,19/11/2022,https://www.businesstoday.in/latest/economy/story/after-byjus-now-zomato-fires-employees-about-100-jobs-impacted-so-far-report-353435-2022-11-19,India,Series J,914
Carvana,Phoenix,Transportation,1500,0.08,18/11/2022,https://www.wsj.com/articles/carvana-plans-to-lay-off-1-500-employees-cites-economic-concerns-11668793114,United States,Post-IPO,1600
Nuro,SF Bay Area,Transportation,300,0.2,18/11/2022,https://techcrunch.com/2022/11/18/autonomous-delivery-startup-nuro-lays-off-20-of-workforce/,United States,Series D,2100
Synthego,SF Bay Area,Healthcare,105,0.2,18/11/2022,https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker-2022,United States,Series E,459
Splyt,"London, Non-U.S.",Transportation,57,,18/11/2022,https://www.linkedin.com/posts/philipp-mintchin-27b0b943_since-the-beginning-of-the-pandemic-in-2020-activity-7000407838200147968-vFMO/,United Kingdom,Series B,34
Capitolis,New York City,Finance,,0.25,18/11/2022,https://www.risk.net/derivatives/7955234/capitolis-cuts-workforce-by-25-as-bear-market-bites,United States,Series D,281
Kavak,"Sao Paulo, Non-U.S.",Transportation,,,18/11/2022,https://businessinsider.mx/kavak-despidos-compra-autos-crisis_negocios/,Brazil,Series E,1600
Metaplex,Chicago,Crypto,,,18/11/2022,https://ambcrypto.com/solana-nft-protocol-metaplex-announces-layoffs-after-ftxs-collapse/,United States,Unknown,
Ruangguru,"Jakarta, Non-U.S.",Education,,,18/11/2022,https://www.techinasia.com/ruangguru-lays-hundreds-employees,Indonesia,Unknown,205
StoryBlocks,Washington D.C.,Media,,0.25,18/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6999412858606256129/,United States,Acquired,18
Unchained Capital,Austin,Crypto,,0.15,18/11/2022,https://unchained.com/blog/update-from-our-ceo/,United States,Series A,33
Roku,SF Bay Area,Media,200,0.07,17/11/2022,https://variety.com/2022/digital/news/roku-layoffs-200-employees-1235435468/amp/,United States,Post-IPO,208
Orchard,New York City,Real Estate,180,,17/11/2022,https://www.inman.com/2022/11/17/orchard-lays-off-180-workers-amid-historic-housing-disruption/,United States,Series D,472
Homepoint,Phoenix,Real Estate,113,,17/11/2022,https://www.bizjournals.com/phoenix/news/2022/11/17/homepoint-laying-off-az-employees-interest-rates.html,United States,Post-IPO,
Juni,"Gothenburg, Non-U.S.",Finance,72,0.33,17/11/2022,https://www.finextra.com/newsarticle/41340/juni-joins-fintech-bloodbath-lays-off-a-third-of-staff,Sweden,Unknown,281
Chili Piper,New York City,Sales,58,,17/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6999112600667983872/,United States,Series B,54
Capitolis,New York City,Finance,37,0.25,17/11/2022,https://www.themarker.com/technation/2022-11-17/ty-article/.premium/00000184-8592-d309-afe7-a597c17f0000,United States,Series D,281
TealBook,"Toronto, Non-U.S.",Other,34,0.19,17/11/2022,https://www-theglobeandmail-com.cdn.ampproject.org/c/s/www.theglobeandmail.com/amp/business/article-symend-tealbook-latest-canadian-tech-startups-to-cut-staff-amid-market/,Canada,Series B,73
Koho,"Toronto, Non-U.S.",Finance,15,0.04,17/11/2022,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,Canada,Series D,278
&Open,"Dublin, Non-U.S.",Marketing,9,0.09,17/11/2022,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,Ireland,Series A,35
Kandji,San Diego,Other,,0.17,17/11/2022,Internal memo,United States,Series C,188
Morning Brew,New York City,Media,,0.14,17/11/2022,https://twitter.com/maxwelltani/status/1593236660627861504,United States,Acquired,
Symend,"Calgary, Non-U.S.",Other,,0.13,17/11/2022,https://www-theglobeandmail-com.cdn.ampproject.org/c/s/www.theglobeandmail.com/amp/business/article-symend-tealbook-latest-canadian-tech-startups-to-cut-staff-amid-market/,Canada,Series C,148
Amazon,Seattle,Retail,10000,0.03,16/11/2022,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html,United States,Post-IPO,108
Cisco,SF Bay Area,Infrastructure,4100,0.05,16/11/2022,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html,United States,Post-IPO,2
Twiga,"Nairobi, Non-U.S.",Food,211,0.21,16/11/2022,https://techcrunch.com/2022/11/16/kenyas-twiga-dismisses-in-house-sales-team-affecting-21-of-it-employees/,Kenya,Series C,157
Wayflyer,"Dublin, Non-U.S.",Marketing,200,0.4,16/11/2022,https://sifted.eu/articles/wayflyer-layoffs-global-2022/,Ireland,Unknown,889
Similarweb,New York City,Other,120,0.1,16/11/2022,https://en.globes.co.il/en/article-similarweb-cuts-10-of-workforce-1001430060,United States,Post-IPO,235
Salsify,Boston,Retail,90,0.11,16/11/2022,https://www.bizjournals.com/boston/inno/stories/news/2022/11/16/salsify-layoffs-2022.html,United States,Series F,452
Lokalise,Dover,Other,76,0.23,16/11/2022,https://lokalise.com/blog/changes-at-lokalise/,United States,Series B,56
Yotpo,New York City,Marketing,70,0.09,16/11/2022,https://www.calcalistech.com/ctechnews/article/hy00chefus,United States,Unknown,436
Pear Therapeutics,Boston,Healthcare,59,0.22,16/11/2022,https://www.fiercebiotech.com/medtech/pear-therapeutics-trims-workforce-another-22,United States,Post-IPO,409
D2L,"Waterloo, Non-U.S.",Education,,0.05,16/11/2022,https://www.d2l.com/newsroom/a-note-from-d2l-leadership/,Canada,Post-IPO,168
Dance,"Berlin, Non-U.S.",Transportation,,0.16,16/11/2022,https://www.linkedin.com/feed/update/activity:6998722842930356225/,Germany,Unknown,63
Homeward,Austin,Real Estate,,0.25,16/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6998764085748101121/,United States,Unknown,501
Hopin,"London, Non-U.S.",Other,,0.17,16/11/2022,https://www.exhibitionworld.co.uk/hopin-announces-new-layoffs-and-a-transformation-with-new-product-launches,United Kingdom,Series D,1000
Infogrid,"London, Non-U.S.",Other,,,16/11/2022,https://www.infogrid.io/blog/a-letter-from-infogrids-ceo-will,United Kingdom,Series A,15
Kite,SF Bay Area,Product,,1,16/11/2022,https://www.kite.com/blog/product/kite-is-saying-farewell/,United States,Series A,21
UiPath,New York City,Data,241,0.06,15/11/2022,https://www.marketwatch.com/story/uipath-stock-rockets-after-company-announces-further-layoffs-suggests-revenue-could-beat-2022-11-15,United States,Post-IPO,2000
Asana,SF Bay Area,Other,180,0.09,15/11/2022,https://www.linkedin.com/posts/anneraimondi_earlier-today-we-shared-the-incredibly-difficult-activity-6998297745270718465-a_MV/,United States,Post-IPO,453
OwnBackup,New York City,Security,170,0.17,15/11/2022,https://www.calcalistech.com/ctechnews/article/h12tcmbuj,United States,Series E,507
Deliveroo Australia,"Melbourne, Victoria",Food,120,1,15/11/2022,https://www.abc.net.au/news/2022-11-16/deliveroo-enters-voluntary-administration/101661932,Australia,Post-IPO,1700
Productboard,SF Bay Area,Product,100,0.2,15/11/2022,https://cc.cz/cesky-startup-productboard-propousti-100-lidi-je-to-nejtezsi-rozhodnuti-kariery-rika-hubert-palan/,United States,Series D,
Properly,"Toronto, Non-U.S.",Real Estate,71,,15/11/2022,https://inside.properly.ca/important-changes-to-the-properly-team-3c2d04191dd6,Canada,Series B,154
Protocol,SF Bay Area,Media,60,1,15/11/2022,https://www.cnn.com/2022/11/15/media/protocol/index.html,United States,Acquired,
Jimdo,"Hamburg, Non-U.S.",Other,50,0.16,15/11/2022,https://www.businessinsider.de/gruenderszene/business/entlassungswelle-jimdo-november/,Germany,Unknown,28
The Zebra,Austin,Finance,50,,15/11/2022,https://coverager.com/the-zebra-goes-through-another-round-of-layoffs/,United States,Series D,256
Viber,"Luxembourg, Non-U.S.",Consumer,45,0.08,15/11/2022,https://www.calcalistech.com/ctechnews/article/hyy6fhwlo,Luxembourg,Acquired,
CaptivateIQ,SF Bay Area,Sales,31,0.1,15/11/2022,Internal memo,United States,Series C,164
Apollo Insurance,"Vancouver, Non-U.S.",Finance,,0.25,15/11/2022,https://www.insurancebusinessmag.com/ca/news/breaking-news/apollo-insurance-makes-layoffs-427596.aspx,Canada,Series B,11
Nirvana Money,Miami,Finance,,1,15/11/2022,https://twitter.com/_Liso_/status/1592561040898019328,United States,Unknown,
Oatly,"Malmö, Non-U.S.",Food,,,15/11/2022,https://www.cnn.com/2022/11/15/business-food/oatly-q3-2022-results/index.html,Sweden,Post-IPO,441
OfferUp,Seattle,Retail,,0.19,15/11/2022,https://www.geekwire.com/2022/more-tech-layoffs-hit-seattle-region-as-mobile-marketplace-offerup-cuts-19-of-workforce/,United States,Unknown,381
Outside,Boulder,Media,,0.12,15/11/2022,https://www.crunchbase.com/organization/pocket-outdoor-media,United States,Series B,174
Rubicon Technologies,Lexington,Other,,0.11,15/11/2022,https://www.sec.gov/Archives/edgar/data/1862068/000182912622019365/rubicontech_8k.htm,United States,Post-IPO,382
Tencent,"Shenzen, Non-U.S.",Consumer,,,15/11/2022,https://www.reuters.com/technology/chinas-tencent-starts-new-round-layoffs-sources-2022-11-15/,China,Post-IPO,12600
Typeform,"Barcelona, Non-U.S.",Marketing,,,15/11/2022,Internal memo,Spain,Series C,187
Whispir,"Melbourne, Non-U.S.",Other,,0.3,15/11/2022,https://www.afr.com/technology/whispir-cuts-30pc-of-staff-shares-surge-40pc-20221115-p5byfw,Australia,Post-IPO,68
Illumina,San Diego,Healthcare,500,0.05,14/11/2022,https://www.genomeweb.com/business-news/illumina-lays-approximately-500-employees-response-economic-climate#.Y4FAPOzMJjM,United States,Post-IPO,28
Sema4,Stamford,Healthcare,500,,14/11/2022,https://www.marketwatch.com/story/sema4-to-cut-500-jobs-in-exit-from-reproductive-women-s-health-testing-smfr-271668433348?mod=markets,United States,Post-IPO,791
iFit,Logan,Fitness,300,0.2,14/11/2022,https://www.sltrib.com/news/2022/11/14/hundreds-utah-jobs-cut-logans/,United States,Private Equity,200
Ribbon,New York City,Real Estate,170,0.85,14/11/2022,https://www.businessinsider.com/ribbon-more-layoffs-proptech-startup-economic-uncertainty-2022-11,United States,Series C,405
Pipedrive,"Tallinn, Non-U.S.",Sales,143,0.15,14/11/2022,https://digipro.geenius.ee/rubriik/uudis/tehnoloogiasektori-koondamislaine-joudis-ka-eestisse-pipedrive-laseb-lahti-143-tootajat/,Estonia,Private Equity,90
Intercom,SF Bay Area,Support,124,0.13,14/11/2022,https://www.siliconrepublic.com/business/intercom-job-cuts-ireland-global,United States,Series D,240
Science 37 ,Los Angeles,Healthcare,90,,14/11/2022,https://www.bizjournals.com/triangle/news/2022/11/14/science-37-layoffs-biotech-clinical-headwinds.html,United States,Post-IPO,347
Pear Therapeutics,Boston,Healthcare,59,0.22,14/11/2022,https://peartherapeutics.com/pear-therapeutics-reports-third-quarter-2022-results/,United States,Post-IPO,409
Cardlytics,Atlanta,Marketing,51,,14/11/2022,https://www.marketscreener.com/quote/stock/CARDLYTICS-INC-40680969/news/Cardlytics-to-Terminate-51-Employees-Appoints-John-Balen-Chairman-Shares-up-After-Hours-42312731/,United States,Post-IPO,212
Cloudinary,SF Bay Area,Media,40,0.08,14/11/2022,"https://www.calcalistech.com/ctechnews/article/h1sioa1li#:~:text=Israeli%20unicorn%20Cloudinary%2C%20which%20has,total%20of%20around%2040%20employees.",United States,Unknown,100
Nestcoin,"Lagos, Non-U.S.",Crypto,30,,14/11/2022,https://techcrunch.com/2022/11/14/african-web3-startup-nestcoin-declares-it-held-its-assests-in-ftx-lays-off-employees/,Nigeria,Seed,6
Gokada,"Lagos, Non-U.S.",Transportation,20,,14/11/2022,https://techcabal.com/2023/02/02/gokada-layoffs-affects-54/,Nigeria,Unknown,12
Shopee,"Jakarta, Non-U.S.",Food,,,14/11/2022,https://www.straitstimes.com/business/sea-e-commerce-arm-shopee-cuts-jobs-in-third-round-of-layoffs-this-year-including-in-s-pore,Indonesia,Unknown,
Tricida,SF Bay Area,Healthcare,,0.57,14/11/2022,https://seekingalpha.com/pr/19020683-tricida-announces-third-quarter-2022-financial-results,United States,Post-IPO,624
Veev,SF Bay Area,Real Estate,100,0.3,11/11/2022,https://www.calcalistech.com/ctechnews/article/hjkataiss,United States,Series D,597
Forto,"Berlin, Non-U.S.",Logistics,60,0.08,11/11/2022,https://www.deutsche-startups.de/2022/11/11/forto-delivery-hero-stuffle-burnout-hr-startups/,Germany,Series D,593
Chipax,"Santiago, Non-U.S.",Finance,,,11/11/2022,https://www.linkedin.com/posts/chipax_talento-disponible-chipax-activity-7003341302985551872-45cE/,Chile,Seed,2
Juniper,Atlanta,Marketing,,,11/11/2022,https://www.linkedin.com/posts/bill-furlong-0895451_juniper-announced-layoffs-today-impacting-activity-6997051846091554816-XniX/,United States,Acquired,
Offerpad,Phoenix,Real Estate,,0.07,11/11/2022,https://www.bizjournals.com/phoenix/news/2022/11/11/offerpad-zillow-opendoor-redfin-arizona-layoffs.html,United States,Post-IPO,355
GoTo Group,"Jakarta, Non-U.S.",Transportation,1300,0.12,10/11/2022,https://www.reuters.com/technology/indonesias-goto-cuts-1300-workers-or-12-total-employees-2022-11-18/,Indonesia,Post-IPO,1300
Juul,SF Bay Area,Consumer,400,0.3,10/11/2022,https://www.cnbc.com/2022/11/10/juul-strikes-financing-deal-plans-to-cut-jobs-to-dodge-bankruptcy.html,United States,Unknown,1500
Blend,SF Bay Area,Finance,100,0.06,10/11/2022,https://www.housingwire.com/articles/blend-reports-133-98-million-loss-in-q3-layoffs-of-100-positions/,United States,Post-IPO,665
InfluxData,SF Bay Area,Data,65,0.27,10/11/2022,Internal memo,United States,Series D,119
Coinbase,SF Bay Area,Crypto,60,,10/11/2022,https://www.theinformation.com/articles/coinbase-is-cutting-more-jobs,United States,Post-IPO,549
SoundHound,SF Bay Area,Other,45,0.1,10/11/2022,https://techcrunch.com/2022/11/10/soundhound-layoffs/,United States,Post-IPO,326
Wistia,Boston,Marketing,40,,10/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6996584795774328832/,United States,Unknown,18
Ocavu,Lehi,Crypto,20,0.48,10/11/2022,https://www.sltrib.com/news/2022/11/10/company-partnering-with-byu-nft/,United States,Series A,11
Avast,Phoenix,Security,,0.25,10/11/2022,https://cijeurope.com/en/gen-digital-to-lay-off-about-a-quarter-of-its-staff-in-czechia/post.html,United States,Unknown,
Reforge,SF Bay Area,Education,,,10/11/2022,https://www.linkedin.com/posts/bbalfour_today-i-made-the-difficult-decision-to-activity-6996635113606316033-aQuf/,United States,Series B,81
SendCloud,"Eindhoven, Non-U.S.",Logistics,,0.1,10/11/2022,https://www.linkedin.com/posts/robvandenheuvel92_the-past-weeks-have-been-hard-on-our-team-activity-6996417331459457026-QXWF/,Netherlands,Series C,200
Voly,"Sydney, Non-U.S.",Food,,,10/11/2022,https://www.news.com.au/finance/business/retail/australian-grocery-delivery-startup-cuts-more-staff-after-18m-fundraise/news-story/694e7bdd0241e76b43a36a75e58a2287,Australia,Seed,13
Wavely,SF Bay Area,HR,,1,10/11/2022,https://www.wavely.com/talentresources/wavely-shutting-down,United States,Unknown,
ZenBusiness,Austin,Other,,,10/11/2022,https://www.bizjournals.com/austin/inno/stories/news/2022/11/10/layoffs-at-zenbusiness.html,United States,Series C,277
Meta,SF Bay Area,Consumer,11000,0.13,09/11/2022,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,United States,Post-IPO,26000
Redfin,Seattle,Real Estate,862,0.13,09/11/2022,https://www.businessinsider.com/redfin-layoffs-home-flipping-business-redfinnow-shut-down-2022-11,United States,Post-IPO,320
Flyhomes,Seattle,Real Estate,300,0.4,09/11/2022,https://www.geekwire.com/2022/flyhomes-does-another-round-of-layoffs-as-housing-market-hurts-real-estate-tech-companies/,United States,Series C,310
AvantStay,Los Angeles,Travel,144,0.22,09/11/2022,https://shorttermrentalz.com/news/avantstay-workforce-redundancies-round/,United States,Private Equity,686
Root Insurance,Columbus,Finance,137,0.2,09/11/2022,https://www.dispatch.com/story/business/employment/2022/11/09/columbus-company-root-to-cut-20-of-its-workforce/69635184007/,United States,Post-IPO,527
Liftoff,SF Bay Area,Marketing,130,0.15,09/11/2022,Internal memo,United States,Acquired,6
Cameo,Chicago,Consumer,80,,09/11/2022,https://www.theinformation.com/briefings/cameo-lays-off-staff-for-second-time-this-year,United States,Unknown,165
Plum,"Bengaluru, Non-U.S.",Healthcare,36,0.1,09/11/2022,https://www.moneycontrol.com/news/business/announcements/tiger-global-backed-plum-insurance-lays-off-36-employees-9478371.html,India,Series A,20
Kabam,SF Bay Area,Consumer,35,0.07,09/11/2022,https://techcrunch.com/2022/11/09/kabam-layoffs/,United States,Acquired,244
HighRadius,"Bengaluru, Non-U.S.",Finance,25,,09/11/2022,https://www.newindianexpress.com/business/2022/nov/17/indian-employees-of-us-based-software-firm-highradius-furious-and-upset-over-manner-they-were-sacked-2519198.html,India,Series C,475
Namogoo,"Tel Aviv, Non-U.S.",Marketing,25,0.15,09/11/2022,https://www.calcalistech.com/ctechnews/article/hjjawkyri,Israel,Series C,69
Amobee,SF Bay Area,Marketing,,,09/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6996113373260054528/,United States,Acquired,72
CloudFactory,"Nairobi, Non-U.S.",Data,,0.12,09/11/2022,https://time.com/6234014/tech-layoffs-twitter-amazon-global-workers/,Kenya,Private Equity,78
Coursera,SF Bay Area,Education,,,09/11/2022,https://blog.coursera.org/changes-to-the-coursera-team/,United States,Post-IPO,458
Faze Medicines,Boston,Healthcare,,1,09/11/2022,https://www.bizjournals.com/boston/news/2022/11/09/faze-medicines-shutdown-third-rock-ventures.html,United States,Series B,81
RingCentral,SF Bay Area,Other,,0.1,09/11/2022,https://www.barrons.com/articles/ringcentral-cuts-staff-earnings-51668030815,United States,Post-IPO,44
Spotify,"Stockholm, Non-U.S.",Media,,,09/11/2022,https://www.digitalmusicnews.com/2022/11/09/spotify-layoffs-november-2022/,Sweden,Post-IPO,2100
EverBridge,Boston,Other,200,,08/11/2022,https://www.bizjournals.com/boston/news/2022/11/08/everbridge-to-lay-off-200-workers.html,United States,Post-IPO,476
Repertoire Immune Medicines,Boston,Healthcare,65,0.5,08/11/2022,https://www.bizjournals.com/boston/news/2022/11/07/repertoire-immune-medicines-layoffs-2022-biotech.html,United States,Series B,257
Astra,SF Bay Area,Aerospace,,0.16,08/11/2022,https://www.linkedin.com/posts/chrisckemp_today-we-made-the-difficult-decision-to-activity-6995868932138033153-knfZ/,United States,Post-IPO,300
Beat,"Athens, Non-U.S.",Transportation,,,08/11/2022,https://www.linkedin.com/posts/thebeatapp_hello-from-beat-we-would-like-to-share-activity-6995832143574622208--0fX/,Greece,Series B,6
NanoString,Seattle,Healthcare,,0.1,08/11/2022,https://www.genomeweb.com/business-news/nanostring-technologies-delivers-underwhelming-q3-lays-10-percent-workforce#.Y3MWTuzMK58,United States,Post-IPO,731
SADA,Los Angeles,Other,,0.11,08/11/2022,https://www.linkedin.com/posts/safoian_today-we-say-goodbye-to-11-of-our-sada-activity-6995835385201213440-MTMJ/,United States,Acquired,
Salesforce,SF Bay Area,Sales,1000,0.01,07/11/2022,https://www.cnbc.com/2022/11/08/salesforce-cut-hundreds-of-employees-on-monday.html,United States,Post-IPO,65
Unacademy,"Bengaluru, Non-U.S.",Education,350,0.1,07/11/2022,https://economictimes.indiatimes.com/tech/startups/unacademy-cuts-another-350-jobs-in-second-round-of-layoffs/articleshow/95361443.cms,India,Series H,838
Zendesk,SF Bay Area,Support,350,0.05,07/11/2022,https://twitter.com/GergelyOrosz/status/1589676662593302528,United States,Acquired,85
Dock,"Sao Paulo, Non-U.S.",Finance,190,0.12,07/11/2022,https://www.infomoney.com.br/negocios/exclusivo-startup-dock-nao-passa-ilesa-e-faz-demissao-em-massa/,Brazil,Private Equity,280
Code42,Minneapolis,Security,,0.15,07/11/2022,https://www.startribune.com/minneapolis-tech-firm-code42-lays-off-15-of-workforce/600222811/,United States,Unknown,137
Domino Data Lab,SF Bay Area,Data,,0.25,07/11/2022,https://docs.google.com/spreadsheets/d/1YKzaAkolJv-rem3UidjYFKk6VW1FyITeTAJrc8z0_Xc/edit#gid=0,United States,Series F,223
Varonis,New York City,Security,110,0.05,06/11/2022,https://www.calcalistech.com/ctechnews/article/hjfkkmrbo,United States,Post-IPO,30
Brainly,"Krakow, Non-U.S.",Education,25,,06/11/2022,https://www.newindianexpress.com/lifestyle/tech/2022/nov/06/poland-based-ed-tech-platform-brainly-fires-nearly-all-staff-in-india-2515584.html,Poland,Series D,148
Practically,"Hyderabad, Non-U.S.",Education,,,06/11/2022,https://www.moneycontrol.com/news/business/startup/k-12-edtech-firm-practically-lays-off-staffers-holds-salaries-citing-funds-crunch-9457711.html,India,Unknown,14
Twitter,SF Bay Area,Consumer,3700,0.5,04/11/2022,https://www.nytimes.com/2022/11/04/technology/elon-musk-twitter-layoffs.html,United States,Post-IPO,12900
Udaan,"Bengaluru, Non-U.S.",Retail,350,,04/11/2022,https://inc42.com/buzz/udaan-fires-350-employees-in-second-wave-of-layoffs-this-year/,India,Unknown,1500
Planetly,"Berlin, Non-U.S.",Other,200,1,04/11/2022,https://www.axios.com/pro/climate-deals/2022/11/04/planetly-shuts-down-layoffs-carbon-accounting,Germany,Acquired,5
KoinWorks,"Jakarta, Non-U.S.",Finance,70,0.08,04/11/2022,https://www.techinasia.com/koinworks-layoff-2022,Indonesia,Unknown,180
Exodus,Nebraska City,Crypto,59,0.22,04/11/2022,https://www.exodus.com/news/exodus-restructure/,United States,Unknown,60
Benitago Group,New York City,Retail,,0.14,04/11/2022,https://techcrunch.com/2022/11/04/benitago-group-lay-off-employees/,United States,Series A,380
Mythical Games,Los Angeles,Crypto,,0.1,04/11/2022,https://www.bloomberg.com/news/articles/2022-11-04/blockchain-game-studio-mythical-games-cuts-10-of-staff,United States,Series C,260
Stripe,SF Bay Area,Finance,1000,0.14,03/11/2022,https://www.bloomberg.com/news/articles/2022-11-03/stripe-cutting-headcount-by-14-as-it-readies-for-leaner-times,United States,Series H,2300
Lyft,SF Bay Area,Transportation,700,0.13,03/11/2022,https://www.wsj.com/articles/lyft-plans-to-lay-off-hundreds-of-staffers-11667490092,United States,Post-IPO,4900
LendingTree,Charlotte,Finance,200,,03/11/2022,https://investors.lendingtree.com/static-files/b06a0e39-53f1-480a-867f-230222a6a84c,United States,Post-IPO,
Pleo,"Copenhagen, Non-U.S.",Finance,150,0.15,03/11/2022,https://www.finextra.com/newsarticle/41262/danish-fintech-pleo-cuts-workforce-by-15,Denmark,Series C,428
Delivery Hero,"Berlin, Non-U.S.",Food,100,,03/11/2022,https://mobile.twitter.com/GergelyOrosz/status/1588220445039497222,Germany,Post-IPO,8300
Shippo,SF Bay Area,Logistics,60,0.2,03/11/2022,https://www.linkedin.com/posts/laurabehrenswu_today-we-made-the-difficult-decision-to-exit-activity-6994028038543851520-M9iZ/,United States,Series E,154
Affirm,SF Bay Area,Finance,,0.01,03/11/2022,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,United States,Post-IPO,1500
CloudKitchens,Los Angeles,Real Estate,,,03/11/2022,https://www.businessinsider.com/travis-kalanick-cloudkitchens-startup-is-cutting-jobs-2022-11,United States,Unknown,1300
LiveRamp,SF Bay Area,Marketing,,0.1,03/11/2022,https://www.marketscreener.com/quote/stock/LIVERAMP-HOLDINGS-INC-54039111/news/LIVERAMP-HOLDINGS-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-42212180/,United States,Post-IPO,16
Provi,Chicago,Food,,,03/11/2022,https://www.chicagobusiness.com/technology/alcohol-ordering-startup-provi-sets-layoffs,United States,Series C,150
Rubius,Boston,Healthcare,,0.82,03/11/2022,https://www.fiercebiotech.com/biotech/more-biotechs-hit-wall-rubius-lays-82-and-tricida-seeks-out-sale,United States,Post-IPO,445
Snapdocs,SF Bay Area,Real Estate,,0.15,03/11/2022,Internal memo,United States,Series D,253
Studio,SF Bay Area,Education,,,03/11/2022,https://www.linkedin.com/feed/update/urn:li:activity:6993982210890485760/,United States,Series B,50
Opendoor,SF Bay Area,Real Estate,550,0.18,02/11/2022,https://www.bloomberg.com/news/articles/2022-11-02/opendoor-lays-off-18-of-workers-in-wave-of-housing-cutbacks,United States,Post-IPO,1900
Chime,SF Bay Area,Finance,156,0.12,02/11/2022,https://www.theinformation.com/articles/chime-slashes-12-of-staff-marking-latest-casualty-in-fintech-meltdown,United States,Series G,2300
Chargebee,SF Bay Area,Finance,142,0.1,02/11/2022,https://techcrunch.com/2022/11/02/tiger-global-chargebee-layoffs/,United States,Series H,468
Dapper Labs,"Vancouver, Non-U.S.",Crypto,134,0.22,02/11/2022,https://betakit.com/dapper-labs-lays-off-22-percent-of-staff/,Canada,Series D,607
Checkmarx,"Tel Aviv, Non-U.S.",Security,100,0.1,02/11/2022,https://www.calcalistech.com/ctechnews/article/hjailhyri,Israel,Series C,92
Smava,"Berlin, Non-U.S.",Finance,100,0.15,02/11/2022,https://www.businessinsider.de/gruenderszene/fintech/smava-entlassungen-oktober/,Germany,Unknown,188
Iron Ox,SF Bay Area,Food,50,0.5,02/11/2022,https://techcrunch.com/2022/11/03/iron-ox-lays-off-50-amounting-to-nearly-half-its-staff/,United States,Series C,103
Digital Currency Gruop,Stamford,Crypto,10,0.13,02/11/2022,https://www.coindesk.com/business/2022/11/02/digital-currency-group-promotes-mark-murphy-to-president-cuts-nearly-13-staff-report/,United States,Unknown,
BitMEX,Non-U.S.,Crypto,,0.3,02/11/2022,https://www.theblock.co/post/181814/crypto-exchange-bitmex-cuts-part-of-workforce-following-ceo-departure-exclusive,Seychelles,Seed,0
